,Language,Name,Symbol
181,Egyptian_Arabic,Voiceless glottal fricative,h
182,Egyptian_Arabic,Voiceless pharyngeal fricative,ħ
183,Egyptian_Arabic,Voiced palatal approximant,j
184,Egyptian_Arabic,Voiceless velar plosive,k
185,Egyptian_Arabic,Voiced alveolar lateral approximant,l
186,Egyptian_Arabic,Voiced bilabial nasal,m
187,Egyptian_Arabic,Voiced alveolar nasal,n
188,Egyptian_Arabic,Voiceless uvular plosive,q
189,Egyptian_Arabic,Voiced dental and alveolar taps and flaps,ɾ
190,Egyptian_Arabic,Voiceless alveolar fricative,s
191,Egyptian_Arabic,Voiceless alveolar fricative,s
192,Egyptian_Arabic,Voiceless postalveolar fricative,ʃ
193,Egyptian_Arabic,Voiceless alveolar plosive,t
194,Egyptian_Arabic,Voiceless alveolar plosive,t
195,Egyptian_Arabic,Voiced labial–velar approximant,w
196,Egyptian_Arabic,Voiceless velar fricative,x
197,Egyptian_Arabic,Voiced velar fricative,ɣ
198,Egyptian_Arabic,Voiced alveolar fricative,z
199,Egyptian_Arabic,Voiced alveolar fricative,z
200,Egyptian_Arabic,Voiceless bilabial plosive,p
201,Egyptian_Arabic,Voiced labiodental fricative,v
202,Egyptian_Arabic,Voiced postalveolar fricative,ʒ
203,Hejazi_Arabic,Glottal stop,ʔ
204,Hejazi_Arabic,Voiced pharyngeal fricative,ʕ
205,Hejazi_Arabic,Voiced bilabial plosive,b
206,Hejazi_Arabic,Voiced alveolar plosive,d
207,Hejazi_Arabic,Voiced alveolar plosive,d
208,Hejazi_Arabic,Voiced postalveolar affricate,dʒ
209,Hejazi_Arabic,Voiced dental fricative,ð
210,Hejazi_Arabic,Voiceless labiodental fricative,f
211,Hejazi_Arabic,Voiced velar plosive,ɡ
212,Hejazi_Arabic,Voiceless uvular plosive,q
213,Hejazi_Arabic,Voiceless glottal fricative,h
214,Hejazi_Arabic,Voiceless pharyngeal fricative,ħ
215,Hejazi_Arabic,Voiced palatal approximant,j
216,Hejazi_Arabic,Voiceless velar plosive,k
217,Hejazi_Arabic,Voiced alveolar lateral approximant,l
218,Hejazi_Arabic,Voiced bilabial nasal,m
219,Hejazi_Arabic,Voiced alveolar nasal,n
220,Hejazi_Arabic,Voiceless dental fricative,θ
221,Hejazi_Arabic,Voiced alveolar trill,r
222,Hejazi_Arabic,Voiceless alveolar fricative,s
223,Hejazi_Arabic,Voiceless alveolar fricative,s
224,Hejazi_Arabic,Voiceless postalveolar fricative,ʃ
225,Hejazi_Arabic,Voiceless alveolar plosive,t
226,Hejazi_Arabic,Voiceless alveolar plosive,t
227,Hejazi_Arabic,Voiced labial–velar approximant,w
228,Hejazi_Arabic,Voiceless velar fricative,x
229,Hejazi_Arabic,Voiced velar fricative,ɣ
230,Hejazi_Arabic,Voiced alveolar fricative,z
231,Hejazi_Arabic,Voiced alveolar fricative,z
232,Hejazi_Arabic,Voiced dental fricative,ð
233,Hejazi_Arabic,Voiceless bilabial plosive,p
234,Hejazi_Arabic,Voiced labiodental fricative,v
235,Lebanese_Arabic,Voiced bilabial plosive,b
236,Lebanese_Arabic,Voiced alveolar plosive,d
237,Lebanese_Arabic,Voiced alveolar plosive,d
238,Lebanese_Arabic,Voiceless labiodental fricative,f
239,Lebanese_Arabic,Voiceless glottal fricative,h
240,Lebanese_Arabic,Voiceless pharyngeal fricative,ħ
241,Lebanese_Arabic,Voiceless velar plosive,k
242,Lebanese_Arabic,Voiced alveolar lateral approximant,l
243,Lebanese_Arabic,Voiced bilabial nasal,m
244,Lebanese_Arabic,Voiced alveolar nasal,n
245,Lebanese_Arabic,Voiced alveolar trill,r
246,Lebanese_Arabic,Voiceless alveolar fricative,s
247,Lebanese_Arabic,Voiceless alveolar fricative,s
248,Lebanese_Arabic,Voiceless postalveolar fricative,ʃ
249,Lebanese_Arabic,Voiceless alveolar plosive,t
250,Lebanese_Arabic,Voiceless alveolar plosive,t
251,Lebanese_Arabic,Voiceless velar fricative,x
252,Lebanese_Arabic,Voiced velar fricative,ɣ
253,Lebanese_Arabic,Voiced alveolar fricative,z
254,Lebanese_Arabic,Voiced alveolar fricative,z
255,Lebanese_Arabic,Voiced postalveolar fricative,ʒ
256,Lebanese_Arabic,Glottal stop,ʔ
257,Lebanese_Arabic,Voiced pharyngeal fricative,ʕ
258,Lebanese_Arabic,Voiced palatal approximant,j
259,Lebanese_Arabic,Voiced labial–velar approximant,w
260,Lebanese_Arabic,Voiceless dental fricative,θ
261,Lebanese_Arabic,Voiced dental fricative,ð
262,Lebanese_Arabic,Voiced dental fricative,ð
263,Lebanese_Arabic,Voiceless uvular plosive,q
264,Lebanese_Arabic,Voiced velar plosive,g
265,Lebanese_Arabic,Voiceless bilabial plosive,p
266,Lebanese_Arabic,Voiced labiodental fricative,v
267,Tunisian_Arabic,Voiced bilabial plosive,b
268,Tunisian_Arabic,Voiced alveolar plosive,d
269,Tunisian_Arabic,Voiced dental fricative,ð
270,Tunisian_Arabic,Voiced alveolar affricate,dz
271,Tunisian_Arabic,Voiced postalveolar fricative,ʒ
272,Tunisian_Arabic,Voiceless labiodental fricative,f
273,Tunisian_Arabic,Voiced velar plosive,ɡ
274,Tunisian_Arabic,Voiceless glottal fricative,h
275,Tunisian_Arabic,Voiceless pharyngeal fricative,ħ
276,Tunisian_Arabic,Voiced palatal approximant,j
277,Tunisian_Arabic,Voiceless velar plosive,k
278,Tunisian_Arabic,Voiced alveolar lateral approximant,l
279,Tunisian_Arabic,Voiced bilabial nasal,m
280,Tunisian_Arabic,Voiced alveolar nasal,n
281,Tunisian_Arabic,Voiceless dental fricative,θ
282,Tunisian_Arabic,Voiceless uvular plosive,q
283,Tunisian_Arabic,Voiceless bilabial plosive,p
284,Tunisian_Arabic,Voiced alveolar trill,r
285,Tunisian_Arabic,Voiceless alveolar fricative,s
286,Tunisian_Arabic,Voiceless postalveolar fricative,ʃ
287,Tunisian_Arabic,Voiceless alveolar plosive,t
288,Tunisian_Arabic,Voiceless postalveolar affricate,tʃ
289,Tunisian_Arabic,Voiced labiodental fricative,v
290,Tunisian_Arabic,Voiced labial–velar approximant,w
291,Tunisian_Arabic,Voiceless velar fricative,x
292,Tunisian_Arabic,Voiced uvular fricative,ʁ
293,Tunisian_Arabic,Voiced alveolar fricative,z
294,Tunisian_Arabic,Voiced pharyngeal fricative,ʕ
295,Tunisian_Arabic,Glottal stop,ʔ
296,Armenian,Voiced bilabial plosive,b
297,Armenian,Voiced alveolar plosive,d
298,Armenian,Voiced alveolar affricate,dz
299,Armenian,Voiced postalveolar affricate,dʒ
300,Armenian,Voiceless labiodental fricative,f
301,Armenian,Voiced velar plosive,ɡ
302,Armenian,Voiceless glottal fricative,h
303,Armenian,Voiced palatal approximant,j
304,Armenian,Voiceless velar plosive,k
305,Armenian,Voiced alveolar lateral approximant,l
306,Armenian,Voiced bilabial nasal,m
307,Armenian,Voiced alveolar nasal,n
308,Armenian,Voiced velar nasal,ŋ
309,Armenian,Voiceless bilabial plosive,p
310,Armenian,Voiced alveolar trill,r
311,Armenian,Voiced alveolar approximant,ɹ
312,Armenian,Voiced retroflex approximant,ɻ
313,Armenian,Voiced dental and alveolar taps and flaps,ɾ
314,Armenian,Voiced uvular fricative,ʁ
315,Armenian,Voiceless alveolar fricative,s
316,Armenian,Voiceless postalveolar fricative,ʃ
317,Armenian,Voiceless alveolar plosive,t
318,Armenian,Voiceless alveolar affricate,ts
319,Armenian,Voiceless postalveolar affricate,tʃ
320,Armenian,Voiced labiodental fricative,v
321,Armenian,Voiceless uvular fricative,χ
322,Armenian,Voiced alveolar fricative,z
323,Armenian,Voiced postalveolar fricative,ʒ
324,Assamese,Voiced bilabial plosive,b
325,Assamese,Voiced alveolar plosive,d
326,Assamese,Voiced velar plosive,ɡ
327,Assamese,Voiced glottal fricative,ɦ
328,Assamese,Voiced palatal approximant,j
329,Assamese,Voiceless velar plosive,k
330,Assamese,Voiced alveolar lateral approximant,l
331,Assamese,Voiced bilabial nasal,m
332,Assamese,Voiced alveolar nasal,n
333,Assamese,Voiced velar nasal,ŋ
334,Assamese,Voiceless bilabial plosive,p
335,Assamese,Voiced alveolar approximant,ɹ
336,Assamese,Voiceless alveolar fricative,s
337,Assamese,Voiceless alveolar plosive,t
338,Assamese,Voiced labial–velar approximant,w
339,Assamese,Voiceless velar fricative,x
340,Assamese,Voiced alveolar fricative,z
341,Astur-Leonese,Voiced bilabial plosive,b
342,Astur-Leonese,Voiced bilabial plosive,b
343,Astur-Leonese,Voiceless bilabial fricative,ɸ
344,Astur-Leonese,Voiced bilabial fricative,β
345,Astur-Leonese,Voiced bilabial fricative,β
346,Astur-Leonese,Voiced bilabial fricative,β
347,Astur-Leonese,Voiceless bilabial fricative,ɸ
348,Astur-Leonese,Voiced dental plosive,d
349,Astur-Leonese,Voiced dental fricative,ð
350,Astur-Leonese,Voiced dental fricative,ð
351,Astur-Leonese,Voiced dental fricative,ð
352,Astur-Leonese,Voiceless dental fricative,θ
353,Astur-Leonese,Voiceless labiodental fricative,f
354,Astur-Leonese,Voiceless bilabial fricative,ɸ
355,Astur-Leonese,Voiceless labiodental fricative,f
356,Astur-Leonese,Voiceless glottal fricative,h
357,Astur-Leonese,Voiced uvular fricative,ʁ
358,Astur-Leonese,Voiced velar plosive,ɡ
359,Astur-Leonese,Voiced velar plosive,ɡ
360,Astur-Leonese,Voiceless uvular fricative,χ
361,Astur-Leonese,Voiced velar nasal,ŋ
362,Astur-Leonese,Voiced uvular fricative,ʁ
363,Astur-Leonese,Voiced velar fricative,ɣ
364,Astur-Leonese,Voiced velar fricative,ɣ
365,Astur-Leonese,Voiceless velar fricative,x
366,Astur-Leonese,Voiced palatal fricative,ʝ
367,Astur-Leonese,Voiceless glottal fricative,h
368,Astur-Leonese,Voiced palatal lateral approximant,ʎ
369,Astur-Leonese,Voiced palatal fricative,ʝ
370,Astur-Leonese,Voiced palatal approximant,j
371,Astur-Leonese,Voiced palatal affricate,ɟʝ
372,Astur-Leonese,Voiced postalveolar affricate,dʒ
373,Astur-Leonese,Voiced postalveolar fricative,ʒ
374,Astur-Leonese,Voiceless velar plosive,k
375,Astur-Leonese,Voiced alveolar lateral approximant,l
376,Astur-Leonese,Voiced alveolar lateral approximant,l
377,Astur-Leonese,Voiced alveolar lateral approximant,l
378,Astur-Leonese,Voiced dental and alveolar taps and flaps,ɾ
379,Astur-Leonese,Voiced palatal lateral approximant,ʎ
380,Astur-Leonese,Voiced bilabial nasal,m
381,Astur-Leonese,Voiced alveolar nasal,n
382,Astur-Leonese,Voiced velar nasal,ŋ
383,Astur-Leonese,Voiced palatal nasal,ɲ
384,Astur-Leonese,Voiceless bilabial plosive,p
385,Astur-Leonese,Voiced alveolar trill,r
386,Astur-Leonese,Voiced alveolar trill,r
387,Astur-Leonese,Voiced alveolar trill,r
388,Astur-Leonese,Voiced dental and alveolar taps and flaps,ɾ
389,Astur-Leonese,Voiced dental and alveolar taps and flaps,ɾ
390,Astur-Leonese,Voiced dental and alveolar taps and flaps,ɾ
391,Astur-Leonese,Voiceless apico-alveolar fricative,s
392,Astur-Leonese,Voiceless apico-alveolar fricative,s
393,Astur-Leonese,Voiceless apico-alveolar fricative,s̺
394,Astur-Leonese,Voiceless glottal fricative,h
395,Astur-Leonese,Voiced dental fricative,ð
396,Astur-Leonese,Voiced apico-alveolar fricative,z̺
397,Astur-Leonese,Voiced alveolar fricative,z
398,Astur-Leonese,Voiced glottal fricative,ɦ
399,Astur-Leonese,Voiceless dental plosive,t
400,Astur-Leonese,Voiceless postalveolar affricate,tʃ
401,Astur-Leonese,Voiced labiodental fricative,v
402,Astur-Leonese,Voiced glottal fricative,ɦ
403,Astur-Leonese,Voiced labiodental fricative,v
404,Astur-Leonese,Voiceless dental fricative,θ
405,Astur-Leonese,Voiced alveolar plosive,d
406,Astur-Leonese,Voiceless dental fricative,θ
407,Astur-Leonese,Voiceless dental sibilant fricative,s̻
408,Astur-Leonese,Voiceless glottal fricative,h
409,Astur-Leonese,Voiced dental fricative,ð
410,Astur-Leonese,Voiced dental sibilant fricative,z̻
411,Astur-Leonese,Voiced dental fricative,ð
412,Astur-Leonese,Voiced glottal fricative,ɦ
413,Astur-Leonese,Voiceless alveolo-palatal fricative,ʃ
414,Astur-Leonese,Voiceless alveolar fricative,s
415,Astur-Leonese,Voiceless postalveolar fricative,ʃ
416,Astur-Leonese,Voiceless glottal fricative,h
417,Astur-Leonese,Voiced postalveolar fricative,ʒ
418,Astur-Leonese,Voiced postalveolar fricative,ʒ
419,Astur-Leonese,Voiced glottal fricative,ɦ
420,Australian_languages,Voiceless bilabial plosive,b̥
421,Australian_languages,Voiced bilabial plosive,b
422,Australian_languages,Voiceless alveolar plosive,d̥
423,Australian_languages,Voiced alveolar plosive,d
424,Australian_languages,Voiced dental plosive,d̪
425,Australian_languages,Voiceless retroflex plosive,ɖ̥
426,Australian_languages,Voiced retroflex plosive,ɖ
427,Australian_languages,Voiceless velar plosive,ɡ̊
428,Australian_languages,Voiced velar plosive,ɡ
429,Australian_languages,Voiceless palatal plosive,ɟ̊
430,Australian_languages,Voiced palatal plosive,ɟ
431,Australian_languages,Voiced palatal approximant,j
432,Australian_languages,Voiced alveolar lateral approximant,l
433,Australian_languages,Voiced retroflex lateral approximant,ɭ
434,Australian_languages,Voiced palatal lateral approximant,ʎ
435,Australian_languages,Voiced bilabial nasal,m
436,Australian_languages,Voiced alveolar nasal,n
437,Australian_languages,Voiced dental nasal,n̪
438,Australian_languages,Voiced retroflex nasal,ɳ
439,Australian_languages,Voiced palatal nasal,ɲ
440,Australian_languages,Voiced velar nasal,ŋ
441,Australian_languages,Voiced alveolar trill,r
442,Australian_languages,Voiced dental and alveolar taps and flaps,ɾ
443,Australian_languages,Voiced alveolar approximant,ɹ
444,Australian_languages,Voiced retroflex flap,ɽ
445,Australian_languages,Voiced retroflex approximant,ɻ
446,Australian_languages,Voiced labial–velar approximant,w
447,Basque,Voiced bilabial plosive,b
448,Basque,Voiced bilabial fricative,β
449,Basque,Voiceless palatal plosive,c
450,Basque,Voiced dental plosive,d
451,Basque,Voiced dental fricative,ð
452,Basque,Voiceless labiodental fricative,f
453,Basque,Voiced velar plosive,ɡ
454,Basque,Voiced velar fricative,ɣ
455,Basque,Voiceless glottal fricative,h
456,Basque,Voiced palatal approximant,j
457,Basque,Voiced palatal plosive,ɟ
458,Basque,Voiceless velar plosive,k
459,Basque,Voiced alveolar lateral approximant,l
460,Basque,Voiced palatal lateral approximant,ʎ
461,Basque,Voiced bilabial nasal,m
462,Basque,Voiced alveolar nasal,n
463,Basque,Voiced palatal nasal,ɲ
464,Basque,Voiceless bilabial plosive,p
465,Basque,Voiced alveolar trill,r
466,Basque,Voiced uvular fricative,ʁ
467,Basque,Voiced dental and alveolar taps and flaps,ɾ
468,Basque,Voiceless alveolar fricative,s̻
469,Basque,Voiceless alveolar fricative,s̺
470,Basque,Voiceless postalveolar fricative,ʃ
471,Basque,Voiceless dental plosive,t
472,Basque,Voiceless postalveolar affricate,tʃ
473,Belarusian,Voiced bilabial plosive,b
474,Belarusian,Voiced dental plosive,d
475,Belarusian,Voiceless labiodental fricative,f
476,Belarusian,Voiced velar fricative,ɣ
477,Belarusian,Voiced post-palatal fricative,ɣʲ
478,Belarusian,Voiceless velar plosive,k
479,Belarusian,Voiceless post-palatal plosive,kʲ
480,Belarusian,Voiced bilabial nasal,m
481,Belarusian,Voiced dental nasal,n
482,Belarusian,Voiceless bilabial plosive,p
483,Belarusian,Voiced alveolar trill,r
484,Belarusian,Voiceless dental sibilant fricative,s
485,Belarusian,Voiceless retroflex fricative,ʂ
486,Belarusian,Voiceless dental plosive,t
487,Belarusian,Voiced labiodental fricative,v
488,Belarusian,Voiceless velar fricative,x
489,Belarusian,Voiceless post-palatal fricative,xʲ
490,Belarusian,Voiced dental sibilant fricative,z
491,Belarusian,Voiced retroflex fricative,ʐ
492,Bengali,Voiced bilabial plosive,b
493,Bengali,Voiced dental plosive,d
494,Bengali,Voiced retroflex plosive,ɖ
495,Bengali,Voiced velar plosive,ɡ
496,Bengali,Voiced glottal fricative,ɦ
497,Bengali,Voiceless glottal fricative,h
498,Bengali,Voiceless velar plosive,k
499,Bengali,Voiced alveolar lateral approximant,l
500,Bengali,Voiced bilabial nasal,m
501,Bengali,Voiced alveolar nasal,n
502,Bengali,Voiced velar nasal,ŋ
503,Bengali,Voiceless bilabial plosive,p
504,Bengali,Voiced dental and alveolar taps and flaps,r
505,Bengali,Voiced retroflex flap,ɽ
506,Bengali,Voiceless alveolar fricative,s
507,Bengali,Voiceless postalveolar fricative,ʃ
508,Bengali,Voiceless dental plosive,t
509,Bengali,Voiceless retroflex plosive,ʈ
510,Bengali,Voiced bilabial fricative,β
511,Bengali,Voiced palatal approximant,j
512,Bengali,Voiceless bilabial fricative,ɸ
513,Bengali,Voiced labial–velar approximant,w
514,Bengali,Voiced alveolar fricative,z
515,Bengali,Voiced retroflex nasal,ɳ
516,Berber,Voiced bilabial plosive,b
517,Berber,Voiced bilabial fricative,β
518,Berber,Voiceless palatal fricative,ç
519,Berber,Voiced alveolar plosive,d
520,Berber,Voiced alveolar affricate,dz
521,Berber,Voiced postalveolar affricate,dʒ
522,Berber,Voiced dental fricative,ð
523,Berber,Voiceless labiodental fricative,f
524,Berber,Voiced velar plosive,ɡ
525,Berber,Voiced velar fricative,ɣ
526,Berber,Voiceless glottal fricative,h
527,Berber,Voiceless pharyngeal fricative,ħ
528,Berber,Voiced palatal approximant,j
529,Berber,Voiced palatal fricative,ʝ
530,Berber,Voiceless velar plosive,k
531,Berber,Voiced alveolar lateral approximant,l
532,Berber,Voiced bilabial nasal,m
533,Berber,Voiced alveolar nasal,n
534,Berber,Voiceless dental fricative,θ
535,Berber,Voiceless uvular plosive,q
536,Berber,Voiced alveolar trill,r
537,Berber,Voiced uvular fricative,ʁ
538,Berber,Voiceless alveolar fricative,s
539,Berber,Voiceless postalveolar fricative,ʃ
540,Berber,Voiceless alveolar plosive,t
541,Berber,Voiceless alveolar affricate,ts
542,Berber,Voiceless postalveolar affricate,tʃ
543,Berber,Voiced labial–velar approximant,w
544,Berber,Voiceless uvular fricative,χ
545,Berber,Voiced alveolar fricative,z
546,Berber,Voiced postalveolar fricative,ʒ
