,Language,Name,Symbol
326,Assamese,Voiced alveolar plosive,d
327,Assamese,Voiced velar plosive,ɡ
328,Assamese,Voiced glottal fricative,ɦ
329,Assamese,Voiced palatal approximant,j
330,Assamese,Voiceless velar plosive,k
331,Assamese,Voiced alveolar lateral approximant,l
332,Assamese,Voiced bilabial nasal,m
333,Assamese,Voiced alveolar nasal,n
334,Assamese,Voiced velar nasal,ŋ
335,Assamese,Voiceless bilabial plosive,p
336,Assamese,Voiced alveolar approximant,ɹ
337,Assamese,Voiceless alveolar fricative,s
338,Assamese,Voiceless alveolar plosive,t
339,Assamese,Voiced labial–velar approximant,w
340,Assamese,Voiceless velar fricative,x
341,Assamese,Voiced alveolar fricative,z
342,Astur-Leonese,Voiced bilabial plosive,b
343,Astur-Leonese,Voiced bilabial plosive,b
344,Astur-Leonese,Voiceless bilabial fricative,ɸ
345,Astur-Leonese,Voiced bilabial fricative,β
346,Astur-Leonese,Voiced bilabial fricative,β
347,Astur-Leonese,Voiced bilabial fricative,β
348,Astur-Leonese,Voiceless bilabial fricative,ɸ
349,Astur-Leonese,Voiced dental plosive,d
350,Astur-Leonese,Voiced dental fricative,ð
351,Astur-Leonese,Voiced dental fricative,ð
352,Astur-Leonese,Voiced dental fricative,ð
353,Astur-Leonese,Voiceless dental fricative,θ
354,Astur-Leonese,Voiceless labiodental fricative,f
355,Astur-Leonese,Voiceless bilabial fricative,ɸ
356,Astur-Leonese,Voiceless labiodental fricative,f
357,Astur-Leonese,Voiceless glottal fricative,h
358,Astur-Leonese,Voiced uvular fricative,ʁ
359,Astur-Leonese,Voiced velar plosive,ɡ
360,Astur-Leonese,Voiced velar plosive,ɡ
361,Astur-Leonese,Voiceless uvular fricative,χ
362,Astur-Leonese,Voiced velar nasal,ŋ
363,Astur-Leonese,Voiced uvular fricative,ʁ
364,Astur-Leonese,Voiced velar fricative,ɣ
365,Astur-Leonese,Voiced velar fricative,ɣ
366,Astur-Leonese,Voiceless velar fricative,x
367,Astur-Leonese,Voiced palatal fricative,ʝ
368,Astur-Leonese,Voiceless glottal fricative,h
369,Astur-Leonese,Voiced palatal lateral approximant,ʎ
370,Astur-Leonese,Voiced palatal fricative,ʝ
371,Astur-Leonese,Voiced palatal approximant,j
372,Astur-Leonese,Voiced palatal affricate,ɟʝ
373,Astur-Leonese,Voiced postalveolar affricate,dʒ
374,Astur-Leonese,Voiced postalveolar fricative,ʒ
375,Astur-Leonese,Voiceless velar plosive,k
376,Astur-Leonese,Voiced alveolar lateral approximant,l
377,Astur-Leonese,Voiced alveolar lateral approximant,l
378,Astur-Leonese,Voiced alveolar lateral approximant,l
379,Astur-Leonese,Voiced dental and alveolar taps and flaps,ɾ
380,Astur-Leonese,Voiced palatal lateral approximant,ʎ
381,Astur-Leonese,Voiced bilabial nasal,m
382,Astur-Leonese,Voiced alveolar nasal,n
383,Astur-Leonese,Voiced velar nasal,ŋ
384,Astur-Leonese,Voiced palatal nasal,ɲ
385,Astur-Leonese,Voiceless bilabial plosive,p
386,Astur-Leonese,Voiced alveolar trill,r
387,Astur-Leonese,Voiced alveolar trill,r
388,Astur-Leonese,Voiced alveolar trill,r
389,Astur-Leonese,Voiced dental and alveolar taps and flaps,ɾ
390,Astur-Leonese,Voiced dental and alveolar taps and flaps,ɾ
391,Astur-Leonese,Voiced dental and alveolar taps and flaps,ɾ
392,Astur-Leonese,Voiceless apico-alveolar fricative,s
393,Astur-Leonese,Voiceless apico-alveolar fricative,s
394,Astur-Leonese,Voiceless apico-alveolar fricative,s̺
395,Astur-Leonese,Voiceless glottal fricative,h
396,Astur-Leonese,Voiced dental fricative,ð
397,Astur-Leonese,Voiced apico-alveolar fricative,z̺
398,Astur-Leonese,Voiced alveolar fricative,z
399,Astur-Leonese,Voiced glottal fricative,ɦ
400,Astur-Leonese,Voiceless dental plosive,t
401,Astur-Leonese,Voiceless postalveolar affricate,tʃ
402,Astur-Leonese,Voiced labiodental fricative,v
403,Astur-Leonese,Voiced glottal fricative,ɦ
404,Astur-Leonese,Voiced labiodental fricative,v
405,Astur-Leonese,Voiceless dental fricative,θ
406,Astur-Leonese,Voiced alveolar plosive,d
407,Astur-Leonese,Voiceless dental fricative,θ
408,Astur-Leonese,Voiceless dental sibilant fricative,s̻
409,Astur-Leonese,Voiceless glottal fricative,h
410,Astur-Leonese,Voiced dental fricative,ð
411,Astur-Leonese,Voiced dental sibilant fricative,z̻
412,Astur-Leonese,Voiced dental fricative,ð
413,Astur-Leonese,Voiced glottal fricative,ɦ
414,Astur-Leonese,Voiceless postalveolar fricative,ʃ
415,Astur-Leonese,Voiceless alveolar fricative,s
416,Astur-Leonese,Voiceless postalveolar fricative,ʃ
417,Astur-Leonese,Voiceless glottal fricative,h
418,Astur-Leonese,Voiced postalveolar fricative,ʒ
419,Astur-Leonese,Voiced postalveolar fricative,ʒ
420,Astur-Leonese,Voiced glottal fricative,ɦ
421,Australian_languages,Voiceless bilabial plosive,b̥
422,Australian_languages,Voiced bilabial plosive,b
423,Australian_languages,Voiceless alveolar plosive,d̥
424,Australian_languages,Voiced alveolar plosive,d
425,Australian_languages,Voiced dental plosive,d̪
426,Australian_languages,Voiceless retroflex plosive,ɖ̥
427,Australian_languages,Voiced retroflex plosive,ɖ
428,Australian_languages,Voiceless velar plosive,ɡ̊
429,Australian_languages,Voiced velar plosive,ɡ
430,Australian_languages,Voiceless palatal plosive,ɟ̊
431,Australian_languages,Voiced palatal plosive,ɟ
432,Australian_languages,Voiced palatal approximant,j
433,Australian_languages,Voiced alveolar lateral approximant,l
434,Australian_languages,Voiced retroflex lateral approximant,ɭ
435,Australian_languages,Voiced palatal lateral approximant,ʎ
436,Australian_languages,Voiced bilabial nasal,m
437,Australian_languages,Voiced alveolar nasal,n
438,Australian_languages,Voiced dental nasal,n̪
439,Australian_languages,Voiced retroflex nasal,ɳ
440,Australian_languages,Voiced palatal nasal,ɲ
441,Australian_languages,Voiced velar nasal,ŋ
442,Australian_languages,Voiced alveolar trill,r
443,Australian_languages,Voiced dental and alveolar taps and flaps,ɾ
444,Australian_languages,Voiced alveolar approximant,ɹ
445,Australian_languages,Voiced retroflex flap,ɽ
446,Australian_languages,Voiced retroflex approximant,ɻ
447,Australian_languages,Voiced labial–velar approximant,w
448,Basque,Voiced bilabial plosive,b
449,Basque,Voiced bilabial fricative,β
450,Basque,Voiceless palatal plosive,c
451,Basque,Voiced dental plosive,d
452,Basque,Voiced dental fricative,ð
453,Basque,Voiceless labiodental fricative,f
454,Basque,Voiced velar plosive,ɡ
455,Basque,Voiced velar fricative,ɣ
456,Basque,Voiceless glottal fricative,h
457,Basque,Voiced palatal approximant,j
458,Basque,Voiced palatal plosive,ɟ
459,Basque,Voiceless velar plosive,k
460,Basque,Voiced alveolar lateral approximant,l
461,Basque,Voiced palatal lateral approximant,ʎ
462,Basque,Voiced bilabial nasal,m
463,Basque,Voiced alveolar nasal,n
464,Basque,Voiced palatal nasal,ɲ
465,Basque,Voiceless bilabial plosive,p
466,Basque,Voiced alveolar trill,r
467,Basque,Voiced uvular fricative,ʁ
468,Basque,Voiced dental and alveolar taps and flaps,ɾ
469,Basque,Voiceless alveolar fricative,s̻
470,Basque,Voiceless alveolar fricative,s̺
471,Basque,Voiceless postalveolar fricative,ʃ
472,Basque,Voiceless dental plosive,t
473,Basque,Voiceless postalveolar affricate,tʃ
474,Belarusian,Voiced bilabial plosive,b
475,Belarusian,Voiced dental plosive,d
476,Belarusian,Voiceless labiodental fricative,f
477,Belarusian,Voiced velar fricative,ɣ
478,Belarusian,Voiced post-palatal fricative,ɣʲ
479,Belarusian,Voiceless velar plosive,k
480,Belarusian,Voiceless post-palatal plosive,kʲ
481,Belarusian,Voiced bilabial nasal,m
482,Belarusian,Voiced dental nasal,n
483,Belarusian,Voiceless bilabial plosive,p
484,Belarusian,Voiced alveolar trill,r
485,Belarusian,Voiceless dental sibilant fricative,s
486,Belarusian,Voiceless retroflex fricative,ʂ
487,Belarusian,Voiceless dental plosive,t
488,Belarusian,Voiced labiodental fricative,v
489,Belarusian,Voiceless velar fricative,x
490,Belarusian,Voiceless post-palatal fricative,xʲ
